gitのサブコマンド

コマンド	実行内容
clone	リポジトリのクローンを作成する
init	リポジトリを新規作成する、または既存のリポジトリを初期化する
remote	リモートリポジトリを関連付けする
fetch	リモートリポジトリの内容を取得する
pull	リモートリポジトリの内容を取得し、現在のブランチに取り込む（「fetch」と「merge」を行う）
push	ローカルリポジトリの変更内容をリモートリポジトリに送信する
add	ファイルをインデックスに追加する（コミットの対象にする）
rm	ファイルをインデックスから削除する
mv	ファイルやディレクトリの名前を変更する
reset	ファイルをインデックスから削除し、特定のコミットの状態まで戻す
status	ワークツリーにあるファイルの状態を表示する
show	ファイルの内容やコミットの差分などを表示する
diff	コミット同士やコミットと作業ツリーの内容を比較する
commit	インデックスに追加した変更をリポジトリに記録する
tag	コミットにタグを付ける、削除する、一覧表示する
log	コミット時のログを表示する
grep	リポジトリで管理されているファイルをパターン検索する
branch	ブランチを作成、削除、一覧表示する
checkout	作業ツリーを異なるブランチに切り替える
merge	他のブランチやコミットの内容を現在のブランチに取り込む
rebase	コミットを再適用する（ブランチの分岐点を変更したり、コミットの順番を入れ替えたりできる）
config	現在の設定を取得、変更する
